год,том,поэты,количество уникальных поэтов,страницы с поэзией,количество страниц с поэзией,процент страниц с поэзией,количество стихов,процент стихов от всех произведений
1962,4,"Карпеко Владимир, Коржавин Наум, Мартынов Леонид, Поликарпов Сергей, Саулитис Бруно, Сидоров Валентин",6,"2, 9, 10, 11, 40, 41, 69, 104",8,"7,1",19,"57,6"
1962,5,"Дмитриев Олег, Козлова Светлана, Костров Владимир, Куликов Спартак, Старшинов Николай, Шкода Вадим",6,"1, 6, 7, 41, 58, 59, 64, 109, 110",9,"8,0",17,"45,9"
1962,6,"Дементьев Андрей, Заурих Алексей, Карпов Николай, Кац Генрих, Окуджава Булат, Рождественский Роберт, Слепакова Нонна, Черевичник Леонид",8,"35, 36, 37, 56, 57, 58, 59, 60",8,"7,1",24,"53,3"
1962,7,"Багрицкий Всеволод, Боков Виктор, Винонен Роберт, Волгин Игорь, Зиедонис Имант, Каменецкий Юрий, Куняев Борис, Машбаш Исхак, Михайлик Юрий, Огнев П., Фоняков Илья, Хелемский Яков, Чистяков Антонин",13,"17, 18, 27, 28, 29, 35, 36, 37, 68, 69, 76, 90, 109",13,"11,6",35,"66,0"
1962,8,"Доризо Николай, Касьянов Николай, Мелехин Павел, Серпин Яков, Солнцев Роман, Уоллес Джо",6,"2, 3, 4, 50, 51, 52, 53, 54, 82, 83, 87",11,"9,8",24,"63,2"
1962,9,"Боков Виктор, Дмитриев Олег, Жирмунская Тамара, Королева Нина, Кучинский Евгений, Кушнер Александр, Пискарёв Анатолий, Рыскулов Рамис, Халупович Вадим, Щипахина Людмила",10,"2, 3, 4, 5, 6, 7, 8, 41, 81, 86, 87",11,"9,8",27,"62,8"
1962,10,"Аксельрод Елена, Ваганова Любовь, Заурих Алексей, Коган Павел, Луговой Владимир, Ряшенцев Юрий, Солнцева Надежда, Чухонцев Олег",8,"53, 54, 55, 56, 57, 58, 59, 60, 76, 77",10,"8,9",26,"61,9"
1962,11,"Бадаев Алексей, Боташев Исса, Луговой Владимир, Львов Михаил, Маршак Самуил, Слуцкий Борис",6,"1, 2, 37, 62, 63, 64, 65, 81",8,"7,1",26,"63,4"
1962,12,"Гнеушев Владимир, Епифанов Евгений, Катаев Валентин, Кондратьев Алексей, Михалков Сергей, Поляков Юрий, Халиф Лев, Цыбин Владимир",8,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 73",22,"19,6",21,"52,5"
1963,1,"Балин Александр, Винокуров Евгений, Вознесенский Андрей, Джусойты Нафи, Завальнюк Леонид, Павлинов Владимир, Яшин Александр",7,"48, 49, 61, 62, 63, 65, 66, 75, 82, 96",10,"8,9",28,"58,3"
1963,2,"Капутикян Сильва, Козловский Яков, Мориц Юнна, Окуджава Булат, Файнберг Владимир, Шавырин Юрий",6,"27, 28, 29, 30, 58, 59, 67, 68, 69, 111",10,"8,9",25,"53,2"
1963,3,"Абдуллина Лира, Кашежева Инна, Котляр Эльмира, Лотяну Эмиль, Мартынов Леонид, Маршак Самуил, Рождественский Роберт, Шевелева Екатерина",8,"3, 4, 38, 39, 40, 41, 76, 77, 81, 82",10,"8,9",19,"48,7"
1963,4,"Гринин Семён, Искандер Фазиль, Либин М., Сосюра Владимир, Чичибабин Борис, Щипачёв Степан",6,"12, 82, 83, 91, 92, 93, 94, 110",8,"7,1",20,"37,7"
1963,5,"Арбитжер Ю., Гордейчев Владимир, Дементьев Андрей, Киреев Р., Коржиков Виталий, Кузнецов Валентин, Угренинов Геннадий, Фатнев Юрий",8,"3, 4, 5, 37, 38, 39, 49, 52, 87, 111, 112",11,"9,8",23,"48,9"
1963,6,"Белкин Владилен, Волгин Игорь, Костров Владимир, Либин М., Павлинов Владимир, Поварцов Сергей, Романов Игорь, Светлов Михаил, Сергеев Марк",9,"2, 3, 4, 5, 6, 47, 48, 49, 50, 51, 72, 110, 112",13,"11,6",32,"56,1"
1963,7,"Волгин Игорь, Головенчиц Михаил, Злотников Натан, Искандер Фазиль, Михеев Александр, Ревич Александр, Ханчев Веселин, Хикмет Назым, Щипачёв Степан",9,"2, 3, 17, 49, 50, 51, 54, 55, 56, 57, 81",11,"9,8",25,"55,6"
1963,8,"Вазех Мирза Шафи, Доризо Николай, Заурих Алексей, Москвитин Александр, Носков Ф., Пуцыло Борис, Сухарев Дмитрий",7,"12, 13, 14, 15, 16, 36, 37, 88, 89, 90, 91, 110",12,"10,7",34,"64,2"
1963,9,"Безыменский Александр, Евтушенко Евгений, Жирмунская Тамара, Искандер Фазиль, Казакова Римма, Носков Ф., Рихтер Ю., Ряшенцев Юрий, Татаринов В.",9,"37, 38, 39, 40, 57, 58, 59, 60, 61, 86, 111, 112",12,"10,7",28,"58,3"
1963,10,"Гамзатов Расул, Рождественский Роберт",2,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 45, 46",14,"12,5",6,"20,0"
1963,11,"Багрицкий Эдуард, Вознесенский Андрей, Дмитриев Олег, Кашежева Инна, Кешоков Алим, Коваль-Волков Александр, Сокол Владимир, Щипачёв Степан",8,"2, 32, 33, 34, 35, 36, 60, 61, 62, 63, 67, 72, 80",13,"11,6",23,"57,5"
1963,12,"Алигер Маргарита, Берестов Валентин, Друнина Юлия, Карем Морис, Рыленков Николай, Слуцкий Борис, Соколов Владимир",7,"3, 25, 26, 27, 28, 29, 42, 43, 44",9,"8,0",31,"63,3"
1964,1,"Афанасьев Виктор, Ахмадулина Белла, Дмитриев Олег, Межелайтис Эдуардас, Френкель А.",5,"1, 7, 8, 9, 39, 40, 41, 42, 43, 44, 45, 46, 102",13,"11,6",9,"31,0"
1964,2,"Ваншенкин Константин, Вегин Петр, Глазов Григорий, Друнина Юлия, Жданов Игорь, Заславский Риталий, Окуджава Булат, Старшинов Николай, Фимин Валерий, Цыбин Владимир, Щипачёв Степан",11,"2, 3, 4, 5, 6, 21, 22, 23, 24, 31, 32, 58, 72",13,"11,6",18,"54,5"
1964,3,"Васильева Лариса, Королева Нина, Кулиев Кайсын, Мартынов Леонид, Мориц Юнна",5,"4, 5, 34, 74, 75, 102, 103, 104, 105",9,"8,0",24,"50,0"
1964,4,"Ахматова Анна, Винокуров Евгений, Ласков Иван, Павлинов Владимир, Рецептер Владимир, Рождественский Роберт, Савельев Владимир",7,"4, 5, 6, 7, 23, 24, 37, 38, 39, 63, 69",11,"9,8",21,"53,8"
1964,5,"Искандер Фазиль, Казакова Римма, Козловский Яков, Методиев Димитр, Светлов Михаил, Файнберг Владимир",6,"3, 4, 5, 46, 66, 67, 76, 95",8,"7,1",18,"41,9"
1964,6,"Аронов Александр, Ахундова Алла, Губанов Леонид, Мальцева Надежда, Новиков Николай, Рубцов Николай, Творогова Валентина, Тимофеев Лев, Шапошников Вячеслав, Шопырев Сергей, Юдахин Александр",11,"4, 5, 6, 7, 8, 65, 66, 67, 68, 72",10,"8,9",29,"46,0"
1964,7,"Беляев Михаил, Вознесенский Андрей, Рождественский Роберт, Улзытуев Дондок, Щипачёв Степан, Яшин Александр",6,"2, 3, 4, 5, 6, 7, 23, 24, 25, 26, 46, 47, 64",13,"11,6",23,"59,0"
1964,8,"Безыменский Александр, Боков Виктор, Дагуров Владимир, Доризо Николай, Дубровин Борис, Поперечный Анатолий",6,"28, 29, 30, 31, 32, 33, 34, 75, 111",9,"8,0",23,"46,9"
1964,9,"Дмитриев Олег, Казанцев Василий, Керлер Иосиф, Мориц Юнна, Сейфуллин Сакен, Цыбин Владимир, Яшин Александр",7,"1, 40, 46, 47, 48, 57, 64, 69",8,"7,1",7,"31,8"
1964,10,"Барто Агния, Винокуров Евгений, Голубков Дмитрий, Лисянский Марк, Смеляков Ярослав, Смирнов Лев, Эмин Геворг",7,"1, 42, 43, 44, 45, 58, 65, 106, 107, 108",10,"8,9",7,"29,2"
1964,11,"Агеев Леонид, Берггольц Ольга, Бобышев Дмитрий, Борисова Майя, Галушко Татьяна, Глозман Григорий, Горбовский Глеб, Городницкий Александр, Ефимова Марина, Королева Нина, Кушнер Александр, Плисецкий Герман, Полякова Надежда, Прокофьев Александр, Рытов Александр, Смирнов Лев, Тарутин Олег, Халупович Вадим, Шкляринский Александр",19,"1, 4, 5, 6, 49, 50, 51, 52, 65, 66, 67, 68, 69, 70, 71",15,"13,4",48,"58,5"
1964,12,"Ваншенкин Константин, Гамзатов Расул, Окуджава Булат, Старшинов Николай",4,"32, 33, 34, 35, 72, 73, 74, 81",8,"7,1",29,"56,9"
