год,том,поэты,количество уникальных поэтов,страницы с поэзией,количество страниц с поэзией,процент страниц с поэзией,количество стихов,процент стихов от всех произведений
1973,2,"Ваншенкин Константин, Ластовенко Борис, Савельев Иван, Тареев Евгений, Ушаков Николай, Хикмет Назым, Цыбин Владимир",7,"29, 31, 32, 55, 56, 57, 61, 62, 63",9,"8,0",30,"58,8"
1973,3,"Беляев Михаил, Васильева Лариса, Винокуров Евгений, Вознесенский Андрей, Галактион Табидзе, Глушаков Евгений, Дудин Михаил, Михеев Александр, Петровский-Теветкел Николай, Поженян Григорий, Творогова Валентина",11,"2, 3, 4, 5, 29, 67, 68, 69, 70, 71, 76",11,"9,8",39,"66,1"
1973,4,"Гулидов Евгений, Жилин Владимир, Кешоков Алим, Костров Владимир, Кравченко Анатолий, Мартынов Леонид, Ряшенцев Юрий, Самченко Егор, Чугай Ольга",9,"3, 4, 5, 6, 13, 14, 50, 66, 98",9,"8,0",28,"51,9"
1973,5,"Гевелинг Александр, Каноат Мумин",2,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 52",12,"10,7",3,"13,0"
1973,6,"Берестов Валентин, Вегин Петр, Дементьев Андрей, Дидуров Алексей, Казанцев Василий, Каневский Валерий, Роя Инара, Слуцкий Борис",8,"2, 3, 38, 39, 40, 45, 50, 61, 68",9,"8,0",38,"57,6"
1973,7,"Богучаров Александр, Гришин Александр, Жданов Игорь, Кугультинов Давид, Куняев Станислав, Сикорский Вадим, Сухарев Дмитрий, Шефнер Вадим",8,"2, 3, 4, 26, 27, 28, 55, 56, 95",9,"8,0",41,"63,1"
1973,8,"Даганов Абдулла, Дмитриев Олег, Завальнюк Леонид, Квливидзе Михаил, Пучков Владимир, Рогов Алексей, Старшинов Николай, Сулейменов Олжас, Шаламов Варлам, Шкляревский Игорь",10,"11, 12, 13, 29, 30, 57, 58, 59, 60, 78",10,"7,8",34,"60,7"
1973,9,"Бровка Петрусь, Дрофенко Сергей, Кузнецов Вадим, Кушнер Александр, Расул Рза, Смирнов Лев, Солнцев Роман, Соложенкина Светлана, Тряпкин Николай",9,"2, 3, 45, 46, 47, 61, 62, 63, 71",9,"8,0",29,"65,9"
1973,10,"Друнина Юлия, Мориц Юнна, Олейник Борис, Рецептер Владимир, Сидоров Валентин, Храмов Евгений, Эмин Геворг",7,"21, 22, 23, 41, 42, 43, 60, 61",8,"7,1",35,"63,6"
1973,11,"Агеев Николай, Алиханов Сергей, Давыдов Сергей, Дзасохов Музафер, Ефимов Моисей, Зумакулова Танзиля, Костюрин Диомид, Латынин Леонид, Нарзуллаев Нормурад, Шимкус Владас, Широков Виктор",11,"29, 30, 39, 40, 41, 42, 68, 69",8,"7,1",37,"61,7"
1973,12,"Данилов Семён, Кадрия, Лисянский Марк, Рахманин Борис, Смеляков Ярослав, Тарасенко Николай, Тарба Иван, Чухин Сергей, Шабанов Василий",9,"2, 3, 25, 26, 27, 62, 95",7,"6,3",28,"68,3"
1974,1,"Айтматов Чингиз, Васюков Александр, Дувин Юрий, Есипов Виктор, Кочетков Олег, Левенко Валерий, Лякишев Станислав, Маннашев Валерий, Путяева Ирина, Раун Отт, Филимонова Наталия, Цветков Алексей, Шерешев Вячеслав, Шигаев Юрий",14,"4, 5, 6, 35, 36, 37, 38, 71, 89",9,"8,0",36,"64,3"
1974,2,"Ваншенкин Константин, Веверис Эйжен, Злотников Натан, Кенжеев Бахыт, Слуцкий Борис, Смирнов Николай, Хонинов Михаил",7,"19, 20, 21, 51, 52, 59, 60, 61, 62",9,"8,0",37,"63,8"
1974,3,"Боков Виктор, Виеру Григоре, Грешилова Вера, Дидуров Алексей, Кашежева Инна, Мартынов Леонид, Никонычев Юрий, Нуруллаева Гульчехра, Шкляревский Игорь",9,"2, 3, 4, 24, 25, 58, 59, 79, 93, 94",10,"8,9",45,"71,4"
1974,4,"Бадаев Алексей, Беспалько Владимир, Павлинов Владимир, Рождественский Роберт, Самойлов Давид, Сосенков Михаил, Халупский Игорь, Шефнер Вадим",8,"5, 6, 7, 28, 67, 75, 85, 86, 87",9,"8,0",35,"55,6"
1974,5,"Андреев Владимир, Бабаев Эдуард, Воронько Платон, Кузнецов Валентин, Леонович Владимир, Савельев Иван, Семашкевич Рыгор, Слуцкий Борис, Смирнов Виктор, Топоровский Ян, Трофименко Владимир, Шерешевский Лазарь, Яшин Михаил",13,"12, 13, 18, 19, 20, 21, 35, 41, 42, 63, 102",11,"9,8",37,"66,1"
1974,6,"Ковда Вадим, Куняев Станислав, Поцхишвили Морис",3,"38, 39, 40",3,"2,7",13,"35,1"
1974,7,"Волгин Игорь, Дмитриев Олег, Искандер Фазиль, Левин Роман, Луйк Вийви, Мориц Юнна, Преловский Анатолий, Савельев Владимир, Цыбин Владимир",9,"26, 27, 28, 29, 60, 61, 62, 77",8,"7,1",28,"58,3"
1974,8,"Арипов Абдулла, Баруздин Сергей, Бобков Сергей, Неруда Пабло, Олзоева Людмила, Романов Александр, Смирнов Юрий, Сухарев Дмитрий, Чухонцев Олег",9,"2, 3, 34, 35, 74, 75, 76, 77, 99, 100",10,"8,9",35,"70,0"
1974,9,"Горбовский Глеб, Корин Григорий, Кулиев Кайсын, Михайлик Юрий, Николенко Виктор, Роя Инара, Соколов Владимир, Устинов Валентин, Эминов Омтем, Юдахин Александр",10,"7, 8, 9, 19, 20, 40, 41, 66",8,"7,1",35,"63,6"
1974,10,"Берестов Валентин, Головенчиц Михаил, Грачёв Николай, Жилин Владимир, Калиниченко Владимир, Козловский Яков, Коротич Виталий, Мовчан Павло, Пляцковский Михаил, Фархади Раим, Широков Виктор",11,"2, 3, 25, 26, 35, 36, 42, 59, 75, 99",10,"8,9",35,"67,3"
1974,11,"Антонович Александр, Бартель Курт, Вешович Радоня, Галчинский К.И., Григорьева Надежда, Девечери Габор, Думбраве Николае, Загович Радован, Кракар Лойзе, Крно Милош, Кунерт Гюнтер, Кунтнер Тоне, Левчев Любомир, Марцинкявичюс Юстинас, Огнев Владимир, Пальчинскайте Виолетта, Пшибось Юлиан, Райзел Владимир, Сабо Леринц, Сарайлич Изет, Сергеев Владимир, Симкин Сэм, Соложенкина Светлана, Терен Иван, Фоняков Илья, Шаламов Варлам, Шевелев Александр",27,"2, 3, 4, 5, 6, 7, 8, 27, 28, 29, 35, 74, 75",13,"11,6",51,"64,6"
1974,12,"Богучаров Александр, Вагабзаде Бахтияр, Вегин Петр, Долинский Даниил, Драч Иван, Коркия Виктор, Кушнер Александр, Латынин Леонид, Лисянский Марк, Панченко Николай, Прозорова Людмила",11,"2, 15, 16, 17, 40, 41, 74, 75, 76",9,"8,0",36,"64,3"
